auc_mean,auc_std,degradation,folds,method
0.6370024331332055,0.13488242137682505,coordinate_noise,7,dgcnn_gru
0.6236356711365578,0.14380234968957534,point_missing,7,dgcnn_gru
0.06867137391955547,0.012678034131998198,strong_synthetic_clutter,7,dgcnn_gru
0.18597914198501017,0.04265795733843084,structured_realistic_clutter,7,dgcnn_gru
0.5802500025691517,0.18793572739895023,coordinate_noise,7,pct_gru
0.5477919342462594,0.20185866241183384,point_missing,7,pct_gru
0.15306595576514442,0.07131966241894841,strong_synthetic_clutter,7,pct_gru
0.34937920308500175,0.09526996135909052,structured_realistic_clutter,7,pct_gru
0.623668035944674,0.14306123770253032,coordinate_noise,7,pointnet_gru
0.60888963721745,0.17559499951160062,point_missing,7,pointnet_gru
0.07245427134303974,0.01466239110384806,strong_synthetic_clutter,7,pointnet_gru
0.22750056975546323,0.03170602596523564,structured_realistic_clutter,7,pointnet_gru
0.7218589846524335,0.12231727275461432,coordinate_noise,7,pointnet_tcn
0.699243583883755,0.1573266845027687,point_missing,7,pointnet_tcn
0.0870008039840209,0.014596230314942319,strong_synthetic_clutter,7,pointnet_tcn
0.25138196096923826,0.05451376967328131,structured_realistic_clutter,7,pointnet_tcn
0.7604601284486884,0.17183901377791874,coordinate_noise,7,radar_stnet
0.7560531001556158,0.19097909809762725,point_missing,7,radar_stnet
0.13662631199292607,0.048384874734805884,strong_synthetic_clutter,7,radar_stnet
0.36748935690393253,0.10139092528864188,structured_realistic_clutter,7,radar_stnet
0.5740231692487262,0.15918266819697335,coordinate_noise,7,robhar_like
0.5545766356874706,0.17283917685928157,point_missing,7,robhar_like
0.0743301932338821,0.027427142003624637,strong_synthetic_clutter,7,robhar_like
0.20547053666261203,0.04843045333013323,structured_realistic_clutter,7,robhar_like
