auc,degradation,fold,method,test_subjects
0.11586143107204723,structured_realistic_clutter,loso_test_p3_val_p4,dgcnn_gru,p3
0.6851216124420373,point_missing,loso_test_p3_val_p4,radar_stnet,p3
0.6002376245365602,coordinate_noise,loso_test_p3_val_p4,radar_stnet,p3
0.12232874020415578,strong_synthetic_clutter,loso_test_p3_val_p4,radar_stnet,p3
0.2961357773710912,structured_realistic_clutter,loso_test_p3_val_p4,radar_stnet,p3
0.41527306161790806,point_missing,loso_test_p4_val_p5,pointnet_gru,p4
0.5444610173023307,coordinate_noise,loso_test_p4_val_p5,pointnet_gru,p4
0.06457920043373634,strong_synthetic_clutter,loso_test_p4_val_p5,pointnet_gru,p4
0.19534390895960718,structured_realistic_clutter,loso_test_p4_val_p5,pointnet_gru,p4
0.5840588562510474,point_missing,loso_test_p4_val_p5,pointnet_tcn,p4
0.6819787573897773,coordinate_noise,loso_test_p4_val_p5,pointnet_tcn,p4
0.08612299018369726,strong_synthetic_clutter,loso_test_p4_val_p5,pointnet_tcn,p4
0.23403270656059333,structured_realistic_clutter,loso_test_p4_val_p5,pointnet_tcn,p4
0.45800463439841765,point_missing,loso_test_p4_val_p5,robhar_like,p4
0.5006688379110283,coordinate_noise,loso_test_p4_val_p5,robhar_like,p4
0.05811337322507889,strong_synthetic_clutter,loso_test_p4_val_p5,robhar_like,p4
0.1773779979954913,structured_realistic_clutter,loso_test_p4_val_p5,robhar_like,p4
0.3003087756757479,point_missing,loso_test_p4_val_p5,pct_gru,p4
0.3578406653458844,coordinate_noise,loso_test_p4_val_p5,pct_gru,p4
0.13172879875104307,strong_synthetic_clutter,loso_test_p4_val_p5,pct_gru,p4
0.27557602622759464,structured_realistic_clutter,loso_test_p4_val_p5,pct_gru,p4
0.5413562920103056,point_missing,loso_test_p4_val_p5,dgcnn_gru,p4
0.6328380661562841,coordinate_noise,loso_test_p4_val_p5,dgcnn_gru,p4
0.07240649812472444,strong_synthetic_clutter,loso_test_p4_val_p5,dgcnn_gru,p4
0.16397355232309888,structured_realistic_clutter,loso_test_p4_val_p5,dgcnn_gru,p4
0.6779165644485685,point_missing,loso_test_p4_val_p5,radar_stnet,p4
0.7074334389175644,coordinate_noise,loso_test_p4_val_p5,radar_stnet,p4
0.15014742425004896,strong_synthetic_clutter,loso_test_p4_val_p5,radar_stnet,p4
0.30552956312996227,structured_realistic_clutter,loso_test_p4_val_p5,radar_stnet,p4
0.7430986532560391,point_missing,loso_test_p5_val_p6,pointnet_gru,p5
0.7156771536524631,coordinate_noise,loso_test_p5_val_p6,pointnet_gru,p5
0.07679173390069728,strong_synthetic_clutter,loso_test_p5_val_p6,pointnet_gru,p5
0.255639808805254,structured_realistic_clutter,loso_test_p5_val_p6,pointnet_gru,p5
0.813732176192836,point_missing,loso_test_p5_val_p6,pointnet_tcn,p5
0.8243167444105265,coordinate_noise,loso_test_p5_val_p6,pointnet_tcn,p5
0.0824376520279293,strong_synthetic_clutter,loso_test_p5_val_p6,pointnet_tcn,p5
0.2664981910235538,structured_realistic_clutter,loso_test_p5_val_p6,pointnet_tcn,p5
0.734439893925079,point_missing,loso_test_p5_val_p6,robhar_like,p5
0.7195151337671292,coordinate_noise,loso_test_p5_val_p6,robhar_like,p5
0.08621892381349268,strong_synthetic_clutter,loso_test_p5_val_p6,robhar_like,p5
0.25415774989579215,structured_realistic_clutter,loso_test_p5_val_p6,robhar_like,p5
0.802060275800025,point_missing,loso_test_p5_val_p6,pct_gru,p5
0.8126896432851173,coordinate_noise,loso_test_p5_val_p6,pct_gru,p5
0.18604194932483528,strong_synthetic_clutter,loso_test_p5_val_p6,pct_gru,p5
0.4855264989047233,structured_realistic_clutter,loso_test_p5_val_p6,pct_gru,p5
0.7520937572848551,point_missing,loso_test_p5_val_p6,dgcnn_gru,p5
0.786301926437826,coordinate_noise,loso_test_p5_val_p6,dgcnn_gru,p5
0.08026052247662878,strong_synthetic_clutter,loso_test_p5_val_p6,dgcnn_gru,p5
0.23077817229278394,structured_realistic_clutter,loso_test_p5_val_p6,dgcnn_gru,p5
0.9582371244498588,point_missing,loso_test_p5_val_p6,radar_stnet,p5
0.9332283285167206,coordinate_noise,loso_test_p5_val_p6,radar_stnet,p5
0.17211948626185997,strong_synthetic_clutter,loso_test_p5_val_p6,radar_stnet,p5
0.44798967916550886,structured_realistic_clutter,loso_test_p5_val_p6,radar_stnet,p5
0.8586124082139135,point_missing,loso_test_p6_val_p7,pointnet_gru,p6
0.8472174418092338,coordinate_noise,loso_test_p6_val_p7,pointnet_gru,p6
0.07772200312744673,strong_synthetic_clutter,loso_test_p6_val_p7,pointnet_gru,p6
0.28170709963466467,structured_realistic_clutter,loso_test_p6_val_p7,pointnet_gru,p6
0.8592609112507652,point_missing,loso_test_p6_val_p7,pointnet_tcn,p6
0.866293898038105,coordinate_noise,loso_test_p6_val_p7,pointnet_tcn,p6
0.08589968899134846,strong_synthetic_clutter,loso_test_p6_val_p7,pointnet_tcn,p6
0.348451735196914,structured_realistic_clutter,loso_test_p6_val_p7,pointnet_tcn,p6
0.854246858881192,point_missing,loso_test_p6_val_p7,robhar_like,p6
0.8605814671724545,coordinate_noise,loso_test_p6_val_p7,robhar_like,p6
0.08089989467901178,strong_synthetic_clutter,loso_test_p6_val_p7,robhar_like,p6
0.2742644287632109,structured_realistic_clutter,loso_test_p6_val_p7,robhar_like,p6
0.8332425539757999,point_missing,loso_test_p6_val_p7,pct_gru,p6
0.8528659788330635,coordinate_noise,loso_test_p6_val_p7,pct_gru,p6
0.10915610054205885,strong_synthetic_clutter,loso_test_p6_val_p7,pct_gru,p6
0.4456064561884806,structured_realistic_clutter,loso_test_p6_val_p7,pct_gru,p6
0.7817258984565522,point_missing,loso_test_p6_val_p7,dgcnn_gru,p6
0.7423601188465936,coordinate_noise,loso_test_p6_val_p7,dgcnn_gru,p6
0.06894083487160303,strong_synthetic_clutter,loso_test_p6_val_p7,dgcnn_gru,p6
0.19040435670003183,structured_realistic_clutter,loso_test_p6_val_p7,dgcnn_gru,p6
0.9972745118812093,point_missing,loso_test_p6_val_p7,radar_stnet,p6
0.9953427776495125,coordinate_noise,loso_test_p6_val_p7,radar_stnet,p6
0.09052377029867995,strong_synthetic_clutter,loso_test_p6_val_p7,radar_stnet,p6
0.5325735239749763,structured_realistic_clutter,loso_test_p6_val_p7,radar_stnet,p6
0.5103148583136345,point_missing,loso_test_p7_val_p1,pointnet_gru,p7
0.5659263333583516,coordinate_noise,loso_test_p7_val_p1,pointnet_gru,p7
0.10159302017296976,strong_synthetic_clutter,loso_test_p7_val_p1,pointnet_gru,p7
0.23668708935379068,structured_realistic_clutter,loso_test_p7_val_p1,pointnet_gru,p7
0.5974653038936197,point_missing,loso_test_p7_val_p1,pointnet_tcn,p7
0.586452691490725,coordinate_noise,loso_test_p7_val_p1,pointnet_tcn,p7
0.11698369968161461,strong_synthetic_clutter,loso_test_p7_val_p1,pointnet_tcn,p7
0.18873884537918545,structured_realistic_clutter,loso_test_p7_val_p1,pointnet_tcn,p7
0.45708222265886955,point_missing,loso_test_p7_val_p1,robhar_like,p7
0.48989579545514433,coordinate_noise,loso_test_p7_val_p1,robhar_like,p7
0.12817315428680823,strong_synthetic_clutter,loso_test_p7_val_p1,robhar_like,p7
