
=== loso_test_p1_val_p2 | stats_svm ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_rf ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_knn ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | pointnet_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] pointnet_tcn epoch 018/30 | train_loss=0.1327 | train_acc=0.9999 | val_f1=0.9268
[loso_test_p1_val_p2] pointnet_tcn epoch 019/30 | train_loss=0.1326 | train_acc=1.0000 | val_f1=0.9342
[loso_test_p1_val_p2] pointnet_tcn epoch 020/30 | train_loss=0.1324 | train_acc=1.0000 | val_f1=0.8574
[loso_test_p1_val_p2] pointnet_tcn epoch 021/30 | train_loss=0.1326 | train_acc=1.0000 | val_f1=0.9081
[loso_test_p1_val_p2] pointnet_tcn epoch 022/30 | train_loss=0.1325 | train_acc=1.0000 | val_f1=0.8595
[loso_test_p1_val_p2] pointnet_tcn epoch 023/30 | train_loss=0.1324 | train_acc=1.0000 | val_f1=0.8811
[loso_test_p1_val_p2] pointnet_tcn epoch 024/30 | train_loss=0.1324 | train_acc=1.0000 | val_f1=0.8703
[loso_test_p1_val_p2] pointnet_tcn epoch 025/30 | train_loss=0.1324 | train_acc=1.0000 | val_f1=0.8364
[loso_test_p1_val_p2] pointnet_tcn epoch 026/30 | train_loss=0.1324 | train_acc=1.0000 | val_f1=0.8513
[loso_test_p1_val_p2] pointnet_tcn epoch 027/30 | train_loss=0.1323 | train_acc=1.0000 | val_f1=0.8872
[loso_test_p1_val_p2] pointnet_tcn epoch 028/30 | train_loss=0.1323 | train_acc=1.0000 | val_f1=0.8675
[loso_test_p1_val_p2] pointnet_tcn epoch 029/30 | train_loss=0.1323 | train_acc=1.0000 | val_f1=0.8662
[loso_test_p1_val_p2] pointnet_tcn epoch 030/30 | train_loss=0.1323 | train_acc=1.0000 | val_f1=0.8261

=== loso_test_p1_val_p2 | robhar_like ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] robhar_like epoch 001/30 | train_loss=0.1789 | train_acc=0.9853 | val_f1=0.6597
[loso_test_p1_val_p2] robhar_like epoch 002/30 | train_loss=0.1391 | train_acc=0.9980 | val_f1=0.6447
[loso_test_p1_val_p2] robhar_like epoch 003/30 | train_loss=0.1363 | train_acc=0.9988 | val_f1=0.6606
[loso_test_p1_val_p2] robhar_like epoch 004/30 | train_loss=0.1362 | train_acc=0.9988 | val_f1=0.6744
[loso_test_p1_val_p2] robhar_like epoch 005/30 | train_loss=0.1346 | train_acc=0.9993 | val_f1=0.5317
[loso_test_p1_val_p2] robhar_like epoch 006/30 | train_loss=0.1340 | train_acc=0.9994 | val_f1=0.7077
[loso_test_p1_val_p2] robhar_like epoch 007/30 | train_loss=0.1333 | train_acc=0.9995 | val_f1=0.6441
[loso_test_p1_val_p2] robhar_like epoch 008/30 | train_loss=0.1332 | train_acc=0.9996 | val_f1=0.6536
[loso_test_p1_val_p2] robhar_like epoch 009/30 | train_loss=0.1333 | train_acc=0.9996 | val_f1=0.6352
[loso_test_p1_val_p2] robhar_like epoch 010/30 | train_loss=0.1326 | train_acc=0.9997 | val_f1=0.6386
[loso_test_p1_val_p2] robhar_like epoch 011/30 | train_loss=0.1326 | train_acc=0.9997 | val_f1=0.6377
[loso_test_p1_val_p2] robhar_like epoch 012/30 | train_loss=0.1324 | train_acc=0.9998 | val_f1=0.6607
[loso_test_p1_val_p2] robhar_like epoch 013/30 | train_loss=0.1324 | train_acc=0.9997 | val_f1=0.6553
