degradation,fold,level,method,runs,sample_accuracy_mean,sample_accuracy_std,sample_macro_f1_mean,sample_macro_f1_std,test_subjects,trial_accuracy_mean,trial_accuracy_std,trial_macro_f1_mean,trial_macro_f1_std
point_missing,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.5366057838660578,0.0,0.4588973420398811,0.0,p1,0.6,0.0,0.5207142857142857,0.0
point_missing,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.5331202435312025,0.0003106290963768538,0.4563407904876171,0.0004128238988095059,p1,0.6,0.0,0.5207142857142857,0.0
point_missing,loso_test_p1_val_p2,0.2,pointnet_gru,5,0.528310502283105,0.0005036649043462679,0.4523164793879352,0.0005894065896649717,p1,0.6,0.0,0.5186753246753246,0.0010391774666353216
point_missing,loso_test_p1_val_p2,0.3,pointnet_gru,5,0.522199391171994,0.0006935864468836706,0.44714313300356034,0.0006841119440725149,p1,0.5666666666666667,0.0,0.48194805194805196,0.0
point_missing,loso_test_p1_val_p2,0.4,pointnet_gru,5,0.514566210045662,0.000721740500427919,0.44037644239233475,0.0005922102452437736,p1,0.5666666666666667,0.0,0.48294372294372295,0.0019913419913419883
point_missing,loso_test_p1_val_p2,0.5,pointnet_gru,5,0.5028995433789953,0.0006490696213157131,0.4295659397862992,0.000833822147466663,p1,0.5666666666666667,0.0,0.4885347985347985,0.0
point_missing,loso_test_p1_val_p2,0.6,pointnet_gru,5,0.4837290715372907,0.0011608216427953914,0.41239632223280037,0.0011984545061691906,p1,0.5333333333333333,0.0,0.44311688311688313,0.0
point_missing,loso_test_p1_val_p2,0.7,pointnet_gru,5,0.44785388127853876,0.0007222218212552876,0.3790685326358723,0.0006509085132926311,p1,0.5333333333333333,0.0,0.44311688311688313,0.0
coordinate_noise,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.5366057838660578,0.0,0.4588973420398811,0.0,p1,0.6,0.0,0.5207142857142857,0.0
coordinate_noise,loso_test_p1_val_p2,0.01,pointnet_gru,5,0.5367427701674277,0.00010096270290275557,0.4587670654405659,0.00014459616722773436,p1,0.6,0.0,0.5258730158730158,0.0
coordinate_noise,loso_test_p1_val_p2,0.02,pointnet_gru,5,0.5383333333333333,0.00027920755445726424,0.45967467725748345,0.00027334609302015505,p1,0.6,0.0,0.5258730158730158,0.0
coordinate_noise,loso_test_p1_val_p2,0.05,pointnet_gru,5,0.5473744292237442,0.0003917667481349407,0.4651132473221697,0.000244863680954062,p1,0.6,0.0,0.5258730158730158,0.0
coordinate_noise,loso_test_p1_val_p2,0.08,pointnet_gru,5,0.5584627092846272,0.000462042899137324,0.47291866111874314,0.00046375360922667276,p1,0.6,0.0,0.5108730158730158,0.0
coordinate_noise,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.5641095890410959,0.0005334849975136232,0.47927147538767867,0.00035329372300726687,p1,0.6,0.0,0.5207142857142857,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.0,pointnet_gru,1,0.5366057838660578,0.0,0.4588973420398811,0.0,p1,0.6,0.0,0.5207142857142857,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.1,pointnet_gru,5,0.17210806697108066,0.00046103900246151976,0.07129035697156785,0.000697366404182427,p1,0.2,0.0,0.07854545454545454,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.2,pointnet_gru,5,0.13416286149162862,0.0004394277026865161,0.045651029779209436,0.0002970606949473829,p1,0.1,0.0,0.02142857142857143,0.0
strong_synthetic_clutter,loso_test_p1_val_p2,0.4,pointnet_gru,5,0.10837138508371384,0.00016143990438049094,0.027754901635917824,0.00012860474067144913,p1,0.1,0.0,0.020689655172413793,0.0
