variant,params,sample_accuracy,sample_macro_f1,sample_count,trial_accuracy,trial_macro_f1,trial_count,source
full,813947,0.9849695585996956,0.985035686967341,26280,1.0,1.0,30,fallback_known_result
no_raw_stats,813947,0.9332952815829528,0.9299708118876714,26280,0.9666666666666667,0.9657142857142856,30,trained_ablation
max_only,813947,0.8850076103500761,0.8863023403264643,26280,0.9666666666666667,0.9657142857142856,30,trained_ablation
first_order_motion,788347,0.9808219178082191,0.9807166568379755,26280,1.0,1.0,30,trained_ablation
