variant,degradation,level,seed,sample_accuracy,sample_macro_f1,sample_weighted_f1,sample_count,trial_accuracy,trial_macro_f1,trial_count
full,missing,0.0,0,0.9849695585996956,0.985035686967341,0.9850356869673412,26280,1.0,1.0,30
full,missing,0.1,0,0.9845890410958904,0.9846518623449754,0.9846518623449754,26280,1.0,1.0,30
full,missing,0.1,1,0.9849315068493151,0.9849910701212611,0.984991070121261,26280,1.0,1.0,30
full,missing,0.1,2,0.9845890410958904,0.9846532580479899,0.9846532580479899,26280,1.0,1.0,30
full,missing,0.2,0,0.984855403348554,0.9849038648906008,0.9849038648906009,26280,1.0,1.0,30
full,missing,0.2,1,0.9841704718417047,0.9842233441923257,0.9842233441923257,26280,1.0,1.0,30
full,missing,0.2,2,0.9850076103500761,0.9850592009477521,0.985059200947752,26280,1.0,1.0,30
full,missing,0.3,0,0.9839041095890411,0.9839461340641957,0.9839461340641957,26280,1.0,1.0,30
full,missing,0.3,1,0.9834855403348554,0.9835207688034086,0.9835207688034087,26280,1.0,1.0,30
full,missing,0.3,2,0.9835616438356164,0.9835929343604132,0.9835929343604132,26280,1.0,1.0,30
full,missing,0.4,0,0.9821917808219178,0.9822160371182289,0.9822160371182289,26280,1.0,1.0,30
full,missing,0.4,1,0.9826103500761035,0.9826175039899587,0.9826175039899585,26280,1.0,1.0,30
full,missing,0.4,2,0.9816590563165906,0.981665889715333,0.9816658897153328,26280,1.0,1.0,30
full,missing,0.5,0,0.9787290715372907,0.9787148990496075,0.9787148990496074,26280,1.0,1.0,30
full,missing,0.5,1,0.978234398782344,0.9782048418869594,0.9782048418869596,26280,1.0,1.0,30
full,missing,0.5,2,0.9792237442922375,0.9792051454133268,0.9792051454133269,26280,1.0,1.0,30
full,missing,0.6,0,0.9707382039573821,0.9706355298062833,0.9706355298062833,26280,1.0,1.0,30
full,missing,0.6,1,0.970509893455099,0.9704022670065797,0.9704022670065795,26280,1.0,1.0,30
full,missing,0.6,2,0.9711948249619482,0.9710982474557562,0.9710982474557561,26280,1.0,1.0,30
full,missing,0.7,0,0.9486301369863014,0.9481745636038399,0.94817456360384,26280,1.0,1.0,30
full,missing,0.7,1,0.950152207001522,0.9496194764538923,0.9496194764538923,26280,1.0,1.0,30
full,missing,0.7,2,0.952054794520548,0.9516793203316551,0.951679320331655,26280,1.0,1.0,30
full,noise,0.0,0,0.9849695585996956,0.985035686967341,0.9850356869673412,26280,1.0,1.0,30
full,noise,0.01,0,0.9840563165905631,0.9841344805210207,0.9841344805210208,26280,1.0,1.0,30
full,noise,0.01,1,0.9840182648401826,0.9840958073010311,0.9840958073010311,26280,1.0,1.0,30
full,noise,0.01,2,0.9843987823439878,0.9844683388277721,0.9844683388277718,26280,1.0,1.0,30
full,noise,0.02,0,0.9828767123287672,0.9829705205392505,0.9829705205392507,26280,1.0,1.0,30
full,noise,0.02,1,0.982496194824962,0.9825958736124767,0.9825958736124766,26280,1.0,1.0,30
full,noise,0.02,2,0.9831050228310503,0.9831940137703427,0.9831940137703427,26280,1.0,1.0,30
full,noise,0.05,0,0.9705479452054795,0.9709169759981208,0.9709169759981209,26280,1.0,1.0,30
full,noise,0.05,1,0.9708143074581431,0.971147656290437,0.9711476562904371,26280,1.0,1.0,30
full,noise,0.05,2,0.9712328767123287,0.9715855070048578,0.9715855070048578,26280,1.0,1.0,30
full,noise,0.08,0,0.928386605783866,0.928717115257994,0.9287171152579938,26280,0.9666666666666667,0.9657142857142856,30
full,noise,0.08,1,0.9296042617960426,0.9298492294440649,0.929849229444065,26280,0.9666666666666667,0.9657142857142856,30
full,noise,0.08,2,0.9283485540334856,0.9286313540816972,0.9286313540816971,26280,0.9666666666666667,0.9657142857142856,30
full,noise,0.1,0,0.8787671232876713,0.8693634054012908,0.8693634054012908,26280,0.9,0.8966666666666667,30
full,noise,0.1,1,0.8778158295281583,0.868118660029209,0.8681186600292091,26280,0.9,0.8966666666666667,30
full,noise,0.1,2,0.8787671232876713,0.8696112768254185,0.8696112768254185,26280,0.9,0.8966666666666667,30
full,clutter,0.0,0,0.9849695585996956,0.985035686967341,0.9850356869673412,26280,1.0,1.0,30
full,clutter,0.1,0,0.20273972602739726,0.1241098525756382,0.1241098525756382,26280,0.2,0.12,30
full,clutter,0.1,1,0.20410958904109588,0.12554296073200236,0.12554296073200236,26280,0.2,0.12,30
full,clutter,0.1,2,0.20372907153729072,0.12631361346508058,0.12631361346508058,26280,0.2,0.12,30
full,clutter,0.2,0,0.17165144596651447,0.10232534392457515,0.10232534392457514,26280,0.2,0.12,30
full,clutter,0.2,1,0.1715372907153729,0.10223407666345856,0.10223407666345856,26280,0.2,0.12,30
full,clutter,0.2,2,0.16948249619482497,0.1006928045788988,0.1006928045788988,26280,0.2,0.12,30
full,clutter,0.4,0,0.1184931506849315,0.04970658974180629,0.04970658974180629,26280,0.1,0.01818181818181818,30
full,clutter,0.4,1,0.1171613394216134,0.047765197961453676,0.047765197961453676,26280,0.1,0.01818181818181818,30
full,clutter,0.4,2,0.11727549467275494,0.047933308298143656,0.04793330829814366,26280,0.1,0.01818181818181818,30
full,clutter,0.6,0,0.1019406392694064,0.02202134237168482,0.02202134237168482,26280,0.1,0.01818181818181818,30
full,clutter,0.6,1,0.10171232876712329,0.02157716863048949,0.02157716863048949,26280,0.1,0.01818181818181818,30
full,clutter,0.6,2,0.10201674277016742,0.022168962602307864,0.022168962602307864,26280,0.1,0.01818181818181818,30
full,clutter,0.8,0,0.10011415525114155,0.01841175541234536,0.018411755412345358,26280,0.1,0.01818181818181818,30
full,clutter,0.8,1,0.10003805175038052,0.01825852171118979,0.01825852171118979,26280,0.1,0.01818181818181818,30
full,clutter,0.8,2,0.10011415525114155,0.01841175541234536,0.018411755412345358,26280,0.1,0.01818181818181818,30
no_motion,missing,0.0,0,0.9389649923896499,0.9377912850538568,0.937791285053857,26280,1.0,1.0,30
no_motion,missing,0.1,0,0.9385083713850837,0.937247261108768,0.937247261108768,26280,1.0,1.0,30
no_motion,missing,0.1,1,0.9383942161339421,0.9370716220562898,0.9370716220562898,26280,1.0,1.0,30
no_motion,missing,0.1,2,0.9385464231354642,0.9373082838006113,0.9373082838006112,26280,1.0,1.0,30
no_motion,missing,0.2,0,0.9371004566210046,0.9358518508071054,0.9358518508071054,26280,1.0,1.0,30
no_motion,missing,0.2,1,0.9374429223744293,0.936200158330198,0.9362001583301979,26280,1.0,1.0,30
no_motion,missing,0.2,2,0.9367199391171994,0.9354216178540549,0.935421617854055,26280,1.0,1.0,30
no_motion,missing,0.3,0,0.9337519025875191,0.9324578750022514,0.9324578750022514,26280,1.0,1.0,30
no_motion,missing,0.3,1,0.9345509893455098,0.9332431840150553,0.9332431840150552,26280,1.0,1.0,30
no_motion,missing,0.3,2,0.932572298325723,0.9311945000969917,0.9311945000969918,26280,1.0,1.0,30
no_motion,missing,0.4,0,0.9256468797564688,0.9241406445909464,0.9241406445909465,26280,1.0,1.0,30
no_motion,missing,0.4,1,0.9265981735159817,0.9253212207131056,0.9253212207131056,26280,1.0,1.0,30
no_motion,missing,0.4,2,0.9269025875190259,0.9256176035603367,0.9256176035603367,26280,1.0,1.0,30
no_motion,missing,0.5,0,0.9117199391171994,0.9100088040452394,0.9100088040452395,26280,1.0,1.0,30
no_motion,missing,0.5,1,0.9108066971080669,0.9091580763853873,0.9091580763853871,26280,1.0,1.0,30
no_motion,missing,0.5,2,0.911986301369863,0.9103610986436665,0.9103610986436667,26280,1.0,1.0,30
no_motion,missing,0.6,0,0.8872907153729072,0.883677521060217,0.8836775210602168,26280,0.9666666666666667,0.9657142857142856,30
no_motion,missing,0.6,1,0.8864916286149163,0.8829516192538562,0.8829516192538562,26280,0.9666666666666667,0.9657142857142856,30
no_motion,missing,0.6,2,0.886910197869102,0.8834773460899781,0.8834773460899781,26280,0.9666666666666667,0.9657142857142856,30
no_motion,missing,0.7,0,0.8453196347031964,0.8343943545963912,0.8343943545963911,26280,0.9,0.8666666666666668,30
no_motion,missing,0.7,1,0.8454337899543379,0.8340059979661165,0.8340059979661165,26280,0.9,0.8666666666666668,30
no_motion,missing,0.7,2,0.8460426179604261,0.8343845046576821,0.8343845046576822,26280,0.9,0.8666666666666668,30
no_motion,noise,0.0,0,0.9389649923896499,0.9377912850538568,0.937791285053857,26280,1.0,1.0,30
no_motion,noise,0.01,0,0.9371765601217656,0.9359498993347021,0.9359498993347023,26280,1.0,1.0,30
no_motion,noise,0.01,1,0.9374429223744293,0.9362160356197282,0.9362160356197283,26280,1.0,1.0,30
no_motion,noise,0.01,2,0.9371765601217656,0.9359822656709575,0.9359822656709578,26280,1.0,1.0,30
no_motion,noise,0.02,0,0.9330669710806697,0.9317553177766966,0.9317553177766966,26280,1.0,1.0,30
no_motion,noise,0.02,1,0.9335235920852359,0.9322613568565521,0.9322613568565521,26280,1.0,1.0,30
no_motion,noise,0.02,2,0.9332952815829528,0.9320890558080398,0.9320890558080398,26280,1.0,1.0,30
no_motion,noise,0.05,0,0.9079147640791476,0.9061746591919885,0.9061746591919884,26280,0.9666666666666667,0.9657142857142856,30
no_motion,noise,0.05,1,0.9074581430745814,0.9056557643236541,0.9056557643236539,26280,0.9666666666666667,0.9657142857142856,30
no_motion,noise,0.05,2,0.9073439878234398,0.9055520058571778,0.9055520058571779,26280,0.9666666666666667,0.9657142857142856,30
