variant,degradation,clean_macro_f1,auc_range_norm,nauc,avg_drop,final_drop
first_order_motion,clutter,0.9807166568379755,0.2197084549778037,0.2240284728987751,0.809824976803684,0.8485746132439776
first_order_motion,missing,0.9807166568379755,0.9707844006834797,0.989872450839655,0.013439085732166567,0.04909561408739427
first_order_motion,noise,0.9807166568379755,0.9668899378242668,0.98590141309694,0.017889028827556608,0.05856629723996165
full,clutter,0.985035686967341,0.11620106111340765,0.11796634644898943,0.921870803361913,0.9666750094553809
full,missing,0.985035686967341,0.9788853814219363,0.993756261192587,0.008665393652848463,0.03521123350421185
full,noise,0.985035686967341,0.9547936993346845,0.9692985868098206,0.037742339307008654,0.11600457288203492
max_only,clutter,0.8863023403264643,0.10180863234209811,0.11486896481013183,0.8306428425664174,0.8680835883239247
max_only,missing,0.8863023403264643,0.8039898482806199,0.907128201855447,0.09702887226062162,0.2060293230068806
max_only,noise,0.8863023403264643,0.8960228632437828,1.0109675022563271,-0.003224655158581058,0.03462950456136338
no_attention_pool,clutter,0.9597674556753683,0.1841326356926371,0.19185130169168615,0.822468952781013,0.8577620110745373
no_attention_pool,missing,0.9597674556753683,0.9674150567797666,1.0079681813122292,-0.0075752014237825405,0.001013595528620015
no_attention_pool,noise,0.9597674556753683,0.9065456761394517,0.9445472137847543,0.0614974367346216,0.16588477608138275
no_motion,clutter,0.9377912850538568,0.17506682231070692,0.18667994158279358,0.8067177778368801,0.8439179023191731
no_motion,missing,0.9377912850538568,0.9156566496954733,0.976397055814917,0.0295296114998449,0.1035296659804601
no_motion,noise,0.9377912850538568,0.8884715415896935,0.9474086139952443,0.057154174619481246,0.15449164734124665
no_raw_stats,clutter,0.9299708118876714,0.09479366663894909,0.10193187294398542,0.8829212884428168,0.9117889937058532
no_raw_stats,missing,0.9299708118876714,0.9229610009999213,0.9924623323676993,0.012842618837625386,0.08165931129825454
no_raw_stats,noise,0.9299708118876714,0.8917557704627874,0.958907267909501,0.04412681730616552,0.11757467199147409
no_tcn,clutter,0.883690461050391,0.15569326468216727,0.17618529512823283,0.771473629129397,0.8155104065549608
no_tcn,missing,0.883690461050391,0.8882495803301158,1.005159181275201,-0.003488018408293825,0.014995412200031866
no_tcn,noise,0.883690461050391,0.843650098285936,0.9546896062260745,0.04375209651060086,0.10423538093674534
no_transformer,clutter,0.8674996257170052,0.10411334924594232,0.12001543996043873,0.8026416423894498,0.849317807535187
no_transformer,missing,0.8674996257170052,0.8742429486506966,1.0077732862744673,-0.008113001706527512,-0.01917550281970315
no_transformer,noise,0.8674996257170052,0.8473875647973269,0.9768160581014023,0.023376228571383884,0.06473085716080573
