variant,degradation,level,sample_accuracy_mean,sample_accuracy_std,sample_macro_f1_mean,sample_macro_f1_std,trial_accuracy_mean,trial_accuracy_std,trial_macro_f1_mean,trial_macro_f1_std,runs
first_order_motion,clutter,0.0,0.9808219178082191,0.0,0.9807166568379755,0.0,1.0,0.0,1.0,0.0,1
first_order_motion,clutter,0.1,0.29720953830542873,0.0002678679868333796,0.2120768897419909,0.0002928308195012755,0.3,0.0,0.22222222222222224,0.0,3
first_order_motion,clutter,0.2,0.27351598173515984,0.00023456674288312968,0.19477711120696659,0.00047093504524323013,0.3,0.0,0.22222222222222224,0.0,3
first_order_motion,clutter,0.4,0.2410958904109589,0.0006721279198118504,0.1675615051911967,0.0008633102855043678,0.2333333333333333,2.7755575615628914e-17,0.17068965517241383,2.7755575615628914e-17,3
first_order_motion,clutter,0.6,0.22324961948249622,0.00026545471253749584,0.147900850437305,0.00015601297688763748,0.20000000000000004,2.7755575615628914e-17,0.12,0.0,3
first_order_motion,clutter,0.8,0.2111364789446981,0.0006011159620026739,0.13214204359399787,0.0011421701746495883,0.20000000000000004,2.7755575615628914e-17,0.12,0.0,3
first_order_motion,missing,0.0,0.9808219178082191,0.0,0.9807166568379755,0.0,1.0,0.0,1.0,0.0,1
first_order_motion,missing,0.1,0.980492135971588,0.0002114831557652673,0.9803880253726955,0.00021454374566717594,1.0,0.0,1.0,0.0,3
first_order_motion,missing,0.2,0.9791983764586506,0.0001594343618718543,0.9790851603433847,0.0001669230415013539,1.0,0.0,1.0,0.0,3
first_order_motion,missing,0.3,0.9770167427701675,0.0004202953202886803,0.9768910364402735,0.0004307625407618814,1.0,0.0,1.0,0.0,3
first_order_motion,missing,0.4,0.9745433789954339,0.0008077972261841809,0.9743872463162869,0.0008139832731125245,1.0,0.0,1.0,0.0,3
first_order_motion,missing,0.5,0.9699010654490108,0.00035013124662208934,0.9697177641070045,0.0003511149760952931,1.0,0.0,1.0,0.0,3
first_order_motion,missing,0.6,0.9590436326737697,0.00039585201761354,0.9588527224104348,0.0004119742008491242,1.0,0.0,1.0,0.0,3
first_order_motion,missing,0.7,0.931747843734145,0.000627821850368544,0.9316210427505812,0.000634869103082627,1.0,0.0,1.0,0.0,3
first_order_motion,noise,0.0,0.9808219178082191,0.0,0.9807166568379755,0.0,1.0,0.0,1.0,0.0,1
first_order_motion,noise,0.01,0.9808853373921868,0.00010911117791784552,0.9807814290116298,0.0001101484839832915,1.0,0.0,1.0,0.0,3
first_order_motion,noise,0.02,0.9805048198883816,0.0002985439445950948,0.9803902023745131,0.0003028576756252065,1.0,0.0,1.0,0.0,3
first_order_motion,noise,0.05,0.9757737189244038,7.818891429438356e-05,0.9755769675903322,8.109440142160462e-05,1.0,0.0,1.0,0.0,3
first_order_motion,noise,0.08,0.9560882800608829,0.0004074677423695576,0.9552391814776057,0.0004460033307479583,1.0,0.0,1.0,0.0,3
first_order_motion,noise,0.1,0.926281075596144,0.0005284796209031055,0.9221503595980138,0.0006008003014057779,0.9666666666666667,0.0,0.9657142857142859,0.0,3
full,clutter,0.0,0.9849695585996956,0.0,0.985035686967341,0.0,1.0,0.0,1.0,0.0,1
full,clutter,0.1,0.20352612886859464,0.0005773620840558612,0.1253221422575737,0.0009131305541727365,0.20000000000000004,2.7755575615628914e-17,0.12,0.0,3
full,clutter,0.2,0.17089041095890412,0.0009966362902365873,0.10175074172231084,0.0007490018592749713,0.20000000000000004,2.7755575615628914e-17,0.12,0.0,3
full,clutter,0.4,0.1176433282597666,0.0006027196535016081,0.0484683653338012,0.0008782425764977694,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
full,clutter,0.6,0.10188990360223238,0.00012935107847774713,0.02192249120149406,0.00025150704649665184,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
full,clutter,0.8,0.10008878741755455,3.587553430677039e-05,0.01836067751196017,7.223505946227776e-05,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
full,missing,0.0,0.9849695585996956,0.0,0.985035686967341,0.0,1.0,0.0,1.0,0.0,1
full,missing,0.1,0.984703196347032,0.00016143990438049618,0.9847653968380755,0.0001595761261479222,1.0,0.0,1.0,0.0,3
full,missing,0.2,0.984677828513445,0.000364096907519225,0.9847288033435596,0.000362995902490507,1.0,0.0,1.0,0.0,3
full,missing,0.3,0.9836504312531709,0.0001820484537596125,0.9836866124093392,0.00018585941624261798,1.0,0.0,1.0,0.0,3
full,missing,0.4,0.9821537290715373,0.0003892950089605116,0.9821664769411735,0.0003900722926844852,1.0,0.0,1.0,0.0,3
full,missing,0.5,0.9787290715372907,0.00040389861309211665,0.9787082954499645,0.0004083988996572951,1.0,0.0,1.0,0.0,3
full,missing,0.6,0.9708143074581431,0.00028475322578184385,0.9707120147562064,0.00028923422697707714,1.0,0.0,1.0,0.0,3
full,missing,0.7,0.9502790461694571,0.0014009844009623693,0.9498244534631292,0.0014381334224214178,1.0,0.0,1.0,0.0,3
full,noise,0.0,0.9849695585996956,0.0,0.985035686967341,0.0,1.0,0.0,1.0,0.0,1
full,noise,0.01,0.9841577879249113,0.0001711153927350651,0.9842328755499413,0.0001672445731879019,1.0,0.0,1.0,0.0,3
full,noise,0.02,0.9828259766615931,0.0002511287401474385,0.9829201359740233,0.00024677501956617964,1.0,0.0,1.0,0.0,3
full,noise,0.05,0.9708650431253171,0.00028191413966121095,0.9712167130978052,0.00027726047768013225,1.0,0.0,1.0,0.0,3
full,noise,0.08,0.9287798072044647,0.0005831843699935326,0.9290658995945854,0.0005550032940768103,0.9666666666666667,0.0,0.9657142857142856,0.0,3
full,noise,0.1,0.8784500253678337,0.0004484441788347116,0.8690311140853061,0.0006530897662092028,0.9,0.0,0.8966666666666668,1.1102230246251565e-16,3
max_only,clutter,0.0,0.8850076103500761,0.0,0.8863023403264643,0.0,0.9666666666666667,0.0,0.9657142857142856,0.0,1
max_only,clutter,0.1,0.22513952308472854,0.00047050322148634125,0.1269209236953139,0.0007531551894298174,0.20000000000000004,2.7755575615628914e-17,0.08888888888888886,1.3877787807814457e-17,3
max_only,clutter,0.2,0.1663115169964485,0.0010102642187589978,0.08027482665812473,0.0008525317642727237,0.17777777777777778,0.015713484026367734,0.07724867724867725,0.008230872585240233,3
max_only,clutter,0.4,0.10924657534246575,0.00018641474450404815,0.03307114346532685,0.0002878884849331217,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
max_only,clutter,0.6,0.10081177067478438,0.00010911117791783959,0.019811842978929236,0.00020680075302570173,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
max_only,clutter,0.8,0.10001268391679352,1.7937767153388467e-05,0.01821875200253952,3.576738194037383e-05,0.10000000000000002,1.3877787807814457e-17,0.01818181818181818,0.0,3
max_only,missing,0.0,0.8850076103500761,0.0,0.8863023403264643,0.0,0.9666666666666667,0.0,0.9657142857142856,0.0,1
max_only,missing,0.1,0.8744292237442922,0.0003360639599059425,0.8742445285938331,0.0002962998213612331,0.9666666666666667,0.0,0.9657142857142856,0.0,3
max_only,missing,0.2,0.8584982242516489,0.0006644241934910349,0.8555151633138517,0.0007682058765516851,0.9666666666666667,0.0,0.9657142857142856,0.0,3
max_only,missing,0.3,0.8418061897513952,0.0006991128249376545,0.8338431791749391,0.0009999784910089402,0.8666666666666667,0.0,0.86,0.0,3
max_only,missing,0.4,0.8189624556062912,0.0008990383128700642,0.8013826666640999,0.0010117329918142447,0.8666666666666667,0.0,0.8574603174603174,0.003591653491741202,3
max_only,missing,0.5,0.7950025367833587,0.0008020007589820794,0.7618909779790409,0.0008785214575733485,0.8000000000000002,1.1102230246251565e-16,0.7314285714285714,0.0,3
max_only,missing,0.6,0.7707001522070015,0.0008354070928500599,0.7177647434155506,0.0008392009632696107,0.8000000000000002,1.1102230246251565e-16,0.7273809523809524,0.0,3
max_only,missing,0.7,0.7451040081177068,0.00023525161074312522,0.6802730173195837,0.00029931148857484824,0.8000000000000002,1.1102230246251565e-16,0.7343722943722942,0.0041630529108817975,3
max_only,noise,0.0,0.8850076103500761,0.0,0.8863023403264643,0.0,0.9666666666666667,0.0,0.9657142857142856,0.0,1
max_only,noise,0.01,0.888039066463724,0.00042182367195120485,0.8892360311046099,0.0004600655849762651,1.0,0.0,1.0,0.0,3
max_only,noise,0.02,0.8941146626078132,0.0002936539041803817,0.8950125639673057,0.0003799009789360914,1.0,0.0,1.0,0.0,3
max_only,noise,0.05,0.9146752917300862,0.0006106749425272025,0.9137192019994923,0.0006615655283639851,1.0,0.0,1.0,0.0,3
max_only,noise,0.08,0.9007864028411974,0.0010601508723473666,0.8979943445887183,0.00117466479250858,1.0,0.0,1.0,0.0,3
max_only,noise,0.1,0.8593987823439878,0.0001354271721465208,0.8516728357651009,0.00031795909253358744,0.9555555555555556,0.01571348402636772,0.9521428571428573,0.01919289834649205,3
no_attention_pool,clutter,0.0,0.9603500761035008,0.0,0.9597674556753683,0.0,1.0,0.0,1.0,0.0,1
no_attention_pool,clutter,0.1,0.28694824961948245,0.00048232250993991303,0.19928194109243913,0.00045989751271923823,0.3,0.0,0.22222222222222224,0.0,3
no_attention_pool,clutter,0.2,0.24847792998477933,0.000845742418983739,0.15704057109374117,0.0008240509960969506,0.26666666666666666,0.0,0.18793650793650793,0.0,3
no_attention_pool,clutter,0.4,0.2230593607305936,8.220117577889518e-05,0.11943147280497834,0.00015353324652113464,0.20000000000000004,2.7755575615628914e-17,0.08307692307692308,0.0,3
no_attention_pool,clutter,0.6,0.2180492135971588,0.0003796709677091688,0.10873308487978706,0.0007169198039123606,0.20000000000000004,2.7755575615628914e-17,0.07854545454545454,0.0,3
no_attention_pool,clutter,0.8,0.21577879249112128,0.0004527287746721098,0.10200544460083098,0.0006183584644729747,0.20000000000000004,2.7755575615628914e-17,0.075,0.0,3
no_attention_pool,missing,0.0,0.9603500761035008,0.0,0.9597674556753683,0.0,1.0,0.0,1.0,0.0,1
no_attention_pool,missing,0.1,0.9631024860476916,0.00025304334529757395,0.9626537801591137,0.00026252908610200325,1.0,0.0,1.0,0.0,3
no_attention_pool,missing,0.2,0.965398274987316,0.00046638194598805577,0.9650114911573873,0.00047777195076716735,1.0,0.0,1.0,0.0,3
no_attention_pool,missing,0.3,0.9680492135971588,0.0001711153927350212,0.9677252057014248,0.00018582004375352552,1.0,0.0,1.0,0.0,3
no_attention_pool,missing,0.4,0.9711948249619482,0.0003288047031155465,0.9709244911624717,0.00033425439435355434,1.0,0.0,1.0,0.0,3
no_attention_pool,missing,0.5,0.9733637747336378,6.213824816801795e-05,0.9731633513802523,5.807011100818521e-05,1.0,0.0,1.0,0.0,3
no_attention_pool,missing,0.6,0.9732242516489092,0.00039949304282151685,0.9731664199866575,0.00040213019067257387,1.0,0.0,1.0,0.0,3
no_attention_pool,missing,0.7,0.9585996955859969,0.0012164663137858214,0.9587538601467482,0.001219297513784977,1.0,0.0,1.0,0.0,3
no_attention_pool,noise,0.0,0.9603500761035008,0.0,0.9597674556753683,0.0,1.0,0.0,1.0,0.0,1
no_attention_pool,noise,0.01,0.9587899543378996,0.00010762660292027846,0.958202084772628,9.40002145492638e-05,1.0,0.0,1.0,0.0,3
no_attention_pool,noise,0.02,0.9549974632166413,0.00020686842250508224,0.9543869799388901,0.00019648429294925483,1.0,0.0,1.0,0.0,3
no_attention_pool,noise,0.05,0.9256215119228818,0.00019974652141075845,0.9250368666337282,0.0002762195747134696,0.9666666666666667,0.0,0.9657142857142856,0.0,3
no_attention_pool,noise,0.08,0.8641171993911719,0.0010599991078526609,0.8598414837645016,0.0012912842748221494,0.9,0.0,0.8966666666666668,1.1102230246251565e-16,3
no_attention_pool,noise,0.1,0.8134576357179096,0.00048564661895173373,0.7938826795939855,0.0006862396019378861,0.8666666666666667,0.0,0.86,0.0,3
no_motion,clutter,0.0,0.9389649923896499,0.0,0.9377912850538568,0.0,1.0,0.0,1.0,0.0,1
no_motion,clutter,0.1,0.3504946727549467,0.000835984629796255,0.21212517664973998,0.00045193358879283655,0.4000000000000001,5.551115123125783e-17,0.24865800865800866,0.0029080149009836445,3
no_motion,clutter,0.2,0.26142820903094877,0.0003263490697683452,0.1461951536532329,0.0001513544237263204,0.3,0.0,0.17857142857142852,2.7755575615628914e-17,3
no_motion,clutter,0.4,0.2170979198376459,0.0004993663035268832,0.10956731821523423,0.000615684554652167,0.20000000000000004,2.7755575615628914e-17,0.08888888888888886,1.3877787807814457e-17,3
no_motion,clutter,0.6,0.20111618467782852,0.00041373684501014237,0.09360650483199269,0.0009169593993584407,0.20000000000000004,2.7755575615628914e-17,0.08888888888888886,1.3877787807814457e-17,3
no_motion,clutter,0.8,0.19249112125824455,0.0003263490697683567,0.09387338273468375,0.00042188262071691336,0.20000000000000004,2.7755575615628914e-17,0.10640394088669951,0.0,3
no_motion,missing,0.0,0.9389649923896499,0.0,0.9377912850538568,0.0,1.0,0.0,1.0,0.0,1
no_motion,missing,0.1,0.9384830035514966,6.467553923887583e-05,0.937209055655223,0.00010032260568370576,1.0,0.0,1.0,0.0,3
no_motion,missing,0.2,0.9370877727042112,0.0002952929154445266,0.9358245423304528,0.0003184238610417521,1.0,0.0,1.0,0.0,3
no_motion,missing,0.3,0.933625063419584,0.0008127610017047461,0.9322985197047661,0.0008439281297048335,1.0,0.0,1.0,0.0,3
no_motion,missing,0.4,0.9263825469304922,0.000534834313604992,0.9250264896214629,0.0006379664367354301,1.0,0.0,1.0,0.0,3
no_motion,missing,0.5,0.9115043125317097,0.0005051321093795181,0.9098426596914311,0.0005049875234139575,1.0,0.0,1.0,0.0,3
no_motion,missing,0.6,0.8868975139523084,0.0003263490697683682,0.8833688288013505,0.00030612128268360387,0.9666666666666667,0.0,0.9657142857142856,0.0,3
no_motion,missing,0.7,0.8455986808726536,0.0003173514967832374,0.8342616190733967,0.0001807961433741872,0.9,0.0,0.8666666666666668,0.0,3
no_motion,noise,0.0,0.9389649923896499,0.0,0.9377912850538568,0.0,1.0,0.0,1.0,0.0,1
no_motion,noise,0.01,0.9372653475393203,0.00012556437007371925,0.9360494002084625,0.00011856760419381887,1.0,0.0,1.0,0.0,3
no_motion,noise,0.02,0.9332952815829528,0.00018641474450405385,0.9320352434804295,0.00021006461313505554,1.0,0.0,1.0,0.0,3
