variant,setting,class_name,precision,recall,f1,support
full,clean,box,0.9992395437262357,1.0,0.99961962723469,2628
full,clean,fall,1.0,1.0,1.0,2628
full,clean,jump,0.9925343811394892,0.9611872146118722,0.9766093176106708,2628
full,clean,left_forerake,1.0,1.0,1.0,2628
full,clean,open_arms,1.0,0.9988584474885844,0.9994288977727013,2628
full,clean,right_forerake,1.0,1.0,1.0,2628
full,clean,sit,1.0,0.9208523592085236,0.9587955625990491,2628
full,clean,squat,0.9062068965517242,1.0,0.9507959479015919,2628
full,clean,stand,0.9996073812328229,0.9687975646879756,0.9839613526570048,2628
full,clean,walk,0.9629901062660315,1.0,0.9811461638977039,2628
no_motion,clean,box,1.0,0.9840182648401826,0.9919447640966629,2628
no_motion,clean,fall,1.0,1.0,1.0,2628
no_motion,clean,jump,0.9642045454545455,0.645738203957382,0.7734731084776664,2628
no_motion,clean,left_forerake,1.0,0.9969558599695586,0.9984756097560976,2628
no_motion,clean,open_arms,0.9913240286684271,1.0,0.9956431142261792,2628
no_motion,clean,right_forerake,0.9992351816443594,0.9942922374429224,0.9967575815372878,2628
no_motion,clean,sit,1.0,0.8264840182648402,0.905,2628
no_motion,clean,squat,0.8197438300531084,0.9984779299847792,0.9003259564247726,2628
no_motion,clean,stand,0.9748427672955975,0.943683409436834,0.9590100541376644,2628
no_motion,clean,walk,0.7502141021981159,1.0,0.8572826618822378,2628
no_tcn,clean,box,1.0,1.0,1.0,2628
no_tcn,clean,fall,1.0,1.0,1.0,2628
no_tcn,clean,jump,0.9766775777414075,0.9082952815829528,0.9412460567823344,2628
no_tcn,clean,left_forerake,1.0,0.9832572298325722,0.9915579432079816,2628
no_tcn,clean,open_arms,0.9813293502613891,1.0,0.9905767056162834,2628
no_tcn,clean,right_forerake,0.9935459377372817,0.995814307458143,0.9946788293424553,2628
no_tcn,clean,sit,0.9801210025929127,0.863013698630137,0.9178470254957507,2628
no_tcn,clean,squat,0.5312310491206792,1.0,0.6938613861386138,2628
no_tcn,clean,stand,1.0,0.21232876712328766,0.3502824858757062,2628
no_tcn,clean,walk,0.9172774869109948,1.0,0.9568541780447842,2628
no_transformer,clean,box,0.9992395437262357,1.0,0.99961962723469,2628
no_transformer,clean,fall,1.0,0.9863013698630136,0.993103448275862,2628
no_transformer,clean,jump,0.8751851851851852,0.8991628614916286,0.887012012012012,2628
no_transformer,clean,left_forerake,1.0,1.0,1.0,2628
no_transformer,clean,open_arms,0.9816959282779231,1.0,0.9907634307257305,2628
no_transformer,clean,right_forerake,0.9911690496215307,0.8968797564687976,0.9416699960047943,2628
no_transformer,clean,sit,1.0,0.1982496194824962,0.3308986979993649,2628
no_transformer,clean,squat,0.5579617834394904,1.0,0.7162714636140638,2628
no_transformer,clean,stand,0.9567081011573082,0.8493150684931506,0.8998185849627092,2628
no_transformer,clean,walk,0.8447444551591128,1.0,0.9158389963408259,2628
no_attention_pool,clean,box,1.0,1.0,1.0,2628
no_attention_pool,clean,fall,1.0,1.0,1.0,2628
no_attention_pool,clean,jump,0.9991099243435692,0.854261796042618,0.921025641025641,2628
no_attention_pool,clean,left_forerake,1.0,0.9992389649923896,0.9996193376475067,2628
no_attention_pool,clean,open_arms,0.9188527457152851,0.9996194824961948,0.9575359941680336,2628
no_attention_pool,clean,right_forerake,1.0,1.0,1.0,2628
no_attention_pool,clean,sit,0.998567335243553,0.795662100456621,0.8856416772554002,2628
no_attention_pool,clean,squat,0.8373205741626795,0.9988584474885844,0.9109838625715773,2628
no_attention_pool,clean,stand,0.945071482317532,0.9558599695585996,0.9504351116155884,2628
no_attention_pool,clean,walk,0.9463449765934462,1.0,0.9724329324699352,2628
no_raw_stats,clean,box,1.0,0.9973363774733638,0.9986664126500285,2628
no_raw_stats,clean,fall,0.9988597491448119,1.0,0.9994295493439818,2628
no_raw_stats,clean,jump,0.9898242368177613,0.8143074581430746,0.8935281837160751,2628
no_raw_stats,clean,left_forerake,1.0,0.9878234398782344,0.9938744257274119,2628
no_raw_stats,clean,open_arms,0.9030927835051547,1.0,0.9490790899241603,2628
no_raw_stats,clean,right_forerake,1.0,0.9992389649923896,0.9996193376475067,2628
no_raw_stats,clean,sit,0.9959731543624161,0.5646879756468798,0.7207382224380767,2628
no_raw_stats,clean,squat,0.7223140495867768,0.997716894977169,0.837967401725791,2628
no_raw_stats,clean,stand,0.9203603603603604,0.971841704718417,0.9454007033129743,2628
no_raw_stats,clean,walk,0.9256780556533991,1.0,0.9614047923907079,2628
max_only,clean,box,1.0,1.0,1.0,2628
max_only,clean,fall,1.0,1.0,1.0,2628
max_only,clean,jump,0.5370535714285715,0.9155251141552512,0.6769836803601575,2628
max_only,clean,left_forerake,1.0,0.9992389649923896,0.9996193376475067,2628
max_only,clean,open_arms,0.9973434535104364,1.0,0.9986699600988029,2628
max_only,clean,right_forerake,1.0,0.5418569254185692,0.702862783810464,2628
max_only,clean,sit,0.930048890560361,0.9410197869101978,0.935502175146586,2628
max_only,clean,squat,0.9182617692705639,0.6754185692541856,0.7783380837535628,2628
max_only,clean,stand,0.9770334928229665,0.7770167427701674,0.8656210258584146,2628
max_only,clean,walk,0.8271954674220963,1.0,0.9054263565891473,2628
first_order_motion,clean,box,1.0,1.0,1.0,2628
first_order_motion,clean,fall,0.9984802431610942,1.0,0.9992395437262357,2628
