fold,method,params,sample_accuracy,sample_count,sample_macro_f1,sample_weighted_f1,seconds,test_subjects,train_subjects,trial_accuracy,trial_count,trial_macro_f1,trial_weighted_f1,val_subjects
loso_test_p1_val_p2,radar_stnet,813947,0.6261796042617961,26280,0.5829236363790307,0.5829236363790307,3623.41,p1,"p3,p4,p5,p6,p7",0.7,30,0.6369264069264069,0.6369264069264069,p2
loso_test_p2_val_p3,radar_stnet,813947,0.9226407914764079,26280,0.9207187861335682,0.9207187861335682,2406.6,p2,"p1,p4,p5,p6,p7",1.0,30,1.0,1.0,p3
loso_test_p3_val_p4,radar_stnet,813947,0.6731735159817351,26280,0.6062453459732656,0.6062453459732655,2466.22,p3,"p1,p2,p5,p6,p7",0.6666666666666666,30,0.5823809523809523,0.5823809523809523,p4
loso_test_p4_val_p5,radar_stnet,813947,0.5861491628614917,26280,0.5405084195393002,0.5405084195393001,2455.75,p4,"p1,p2,p3,p6,p7",0.5666666666666667,30,0.45666666666666667,0.45666666666666667,p5
loso_test_p5_val_p6,radar_stnet,813947,0.9066971080669711,26280,0.9057508672119736,0.9057508672119736,2766.03,p5,"p1,p2,p3,p4,p7",1.0,30,1.0,1.0,p6
loso_test_p6_val_p7,radar_stnet,813947,0.8975266362252664,26280,0.8747703701026837,0.8747703701026837,3762.94,p6,"p1,p2,p3,p4,p5",0.9,30,0.8666666666666666,0.8666666666666667,p7
loso_test_p7_val_p1,radar_stnet,813947,0.6261415525114156,26280,0.5958159170506597,0.5958159170506597,3769.49,p7,"p2,p3,p4,p5,p6",0.6666666666666666,30,0.6174999999999999,0.6174999999999999,p1
